Tempo,Pot. Ativa,FP,FR,FNL
431.956,1.86,0.25,0.91,-0.03
431.96,1.86,0.25,0.91,-0.03
431.964,1.86,0.25,0.91,-0.03
431.967,1.86,0.25,0.91,-0.03
431.971,1.86,0.25,0.91,-0.03
431.975,1.86,0.25,0.91,-0.03
431.978,1.86,0.25,0.91,-0.03
431.982,1.86,0.25,0.91,-0.03
431.986,1.86,0.25,0.91,-0.03
431.989,1.86,0.25,0.91,-0.03
431.993,1.86,0.25,0.91,-0.03
431.997,1.86,0.25,0.91,-0.03
432.001,1.86,0.25,0.91,-0.03
432.004,1.86,0.25,0.91,-0.03
432.008,1.86,0.25,0.91,-0.03
432.012,1.86,0.25,0.91,-0.03
432.015,1.86,0.25,0.91,-0.03
432.019,1.86,0.25,0.91,-0.03
432.023,1.86,0.25,0.91,-0.03
432.026,1.86,0.25,0.91,-0.03
432.03,1.86,0.25,0.91,-0.03
432.034,1.87,0.25,0.91,-0.03
432.037,1.87,0.25,0.91,-0.03
432.041,1.87,0.25,0.91,-0.03
432.045,1.87,0.25,0.91,-0.03
432.049,1.86,0.25,0.91,-0.03
432.052,1.86,0.25,0.91,-0.03
432.056,1.86,0.25,0.91,-0.03
432.06,1.86,0.25,0.91,-0.03
432.063,1.86,0.25,0.91,-0.03
432.067,1.86,0.25,0.91,-0.03
432.071,1.86,0.25,0.91,-0.03
432.074,1.86,0.25,0.91,-0.03
432.078,1.86,0.25,0.91,-0.03
432.082,1.86,0.25,0.91,-0.03
432.086,1.86,0.25,0.91,-0.03
432.089,1.86,0.25,0.91,-0.03
432.093,1.86,0.25,0.91,-0.03
432.097,1.86,0.25,0.91,-0.03
432.1,1.85,0.25,0.91,-0.03
432.104,1.85,0.25,0.91,-0.03
432.108,1.85,0.25,0.91,-0.03
432.111,1.85,0.25,0.91,-0.03
432.115,1.85,0.25,0.91,-0.03
432.119,1.85,0.25,0.91,-0.03
432.122,1.85,0.25,0.91,-0.03
432.126,1.85,0.25,0.91,-0.03
432.13,1.85,0.25,0.91,-0.03
432.134,1.85,0.25,0.91,-0.03
432.137,1.85,0.25,0.91,-0.03
